archetype #,Feature Name,P value (Hypergeom.),Significant after Benjamini-Hochberg correction?,P maximal
2,progression-free_survival: 14,1,1,-Inf
2,progression-free_survival: 15,1,1,-Inf
2,progression-free_survival: 18,1,1,-Inf
2,progression-free_survival: 2,1,1,-Inf
2,progression-free_survival: 22,1,1,-Inf
2,progression-free_survival: 23,1,1,-Inf
2,progression-free_survival: 27,1,1,-Inf
2,progression-free_survival: 3,1,1,-Inf
2,progression-free_survival: 32,1,1,-Inf
2,progression-free_survival: 36,1,1,-Inf
2,progression-free_survival: 37,1,1,-Inf
2,progression-free_survival: 39,1,1,-Inf
2,progression-free_survival: 40,1,1,-Inf
2,progression-free_survival: 48,1,1,-Inf
2,progression-free_survival: 5,1,1,-Inf
2,progression-free_survival: 6,1,1,-Inf
2,progression-free_survival: 74,1,1,-Inf
2,progression-free_survival: 9,1,1,-Inf
2,progression-free_survival: 93,1,1,-Inf
2,pfs_cluster: Average,1,1,-Inf
2,pfs_cluster: Exceptional,1,1,-Inf
3,overall_survival: 11,0.096914,1,-Inf
3,overall_survival: 22,0.096914,1,-Inf
3,overall_survival: 38,0.096914,1,-Inf
3,progression-free_survival: 11,0.096914,1,-Inf
3,overall_survival: 34,0.14264,1,-Inf
3,response_cluster: Average,0.16769,1,-Inf
3,progression-free_survival: NA,0.46002,1,-Inf
3,pfs_cluster: NA,0.46002,1,-Inf
3,pfs_cluster: Average,0.56681,1,-Inf
3,response_cluster: Poor,0.77924,1,-Inf
3,response_cluster: Exceptional,1,1,-Inf
3,response_cluster: None,1,1,-Inf
3,overall_survival: 10,1,1,-Inf
3,overall_survival: 106,1,1,-Inf
3,overall_survival: 115,1,1,-Inf
3,overall_survival: 12,1,1,-Inf
3,overall_survival: 13,1,1,-Inf
3,overall_survival: 15,1,1,-Inf
3,overall_survival: 16,1,1,-Inf
3,overall_survival: 164,1,1,-Inf
3,overall_survival: 17,1,1,-Inf
3,overall_survival: 19,1,1,-Inf
3,overall_survival: 2,1,1,-Inf
3,overall_survival: 20,1,1,-Inf
3,overall_survival: 21,1,1,-Inf
3,overall_survival: 23,1,1,-Inf
3,overall_survival: 25,1,1,-Inf
3,overall_survival: 27,1,1,-Inf
3,overall_survival: 28,1,1,-Inf
3,overall_survival: 29,1,1,-Inf
3,overall_survival: 3,1,1,-Inf
3,overall_survival: 30,1,1,-Inf
3,overall_survival: 31,1,1,-Inf
3,overall_survival: 32,1,1,-Inf
3,overall_survival: 33,1,1,-Inf
3,overall_survival: 39,1,1,-Inf
3,overall_survival: 4,1,1,-Inf
3,overall_survival: 42,1,1,-Inf
3,overall_survival: 43,1,1,-Inf
3,overall_survival: 46,1,1,-Inf
3,overall_survival: 48,1,1,-Inf
3,overall_survival: 5,1,1,-Inf
3,overall_survival: 58,1,1,-Inf
3,overall_survival: 65,1,1,-Inf
3,overall_survival: 69,1,1,-Inf
3,overall_survival: 7,1,1,-Inf
3,overall_survival: 72,1,1,-Inf
3,overall_survival: 76,1,1,-Inf
3,overall_survival: 77,1,1,-Inf
3,overall_survival: 79,1,1,-Inf
3,overall_survival: 8,1,1,-Inf
3,overall_survival: 84,1,1,-Inf
3,overall_survival: 90,1,1,-Inf
3,overall_survival: 95,1,1,-Inf
3,overall_survival: NA,1,1,-Inf
3,progression-free_survival: 10,1,1,-Inf
3,progression-free_survival: 12,1,1,-Inf
3,progression-free_survival: 13,1,1,-Inf
3,progression-free_survival: 14,1,1,-Inf
3,progression-free_survival: 15,1,1,-Inf
3,progression-free_survival: 18,1,1,-Inf
3,progression-free_survival: 2,1,1,-Inf
3,progression-free_survival: 22,1,1,-Inf
3,progression-free_survival: 23,1,1,-Inf
3,progression-free_survival: 27,1,1,-Inf
3,progression-free_survival: 3,1,1,-Inf
3,progression-free_survival: 32,1,1,-Inf
3,progression-free_survival: 36,1,1,-Inf
3,progression-free_survival: 37,1,1,-Inf
3,progression-free_survival: 39,1,1,-Inf
3,progression-free_survival: 40,1,1,-Inf
3,progression-free_survival: 48,1,1,-Inf
3,progression-free_survival: 5,1,1,-Inf
3,progression-free_survival: 6,1,1,-Inf
3,progression-free_survival: 7,1,1,-Inf
3,progression-free_survival: 74,1,1,-Inf
3,progression-free_survival: 9,1,1,-Inf
3,progression-free_survival: 93,1,1,-Inf
3,pfs_cluster: Exceptional,1,1,-Inf
3,pfs_cluster: Poor,1,1,-Inf
4,overall_survival: 164,0.049383,1,-Inf
4,overall_survival: 28,0.049383,1,-Inf
4,overall_survival: 29,0.049383,1,-Inf
4,progression-free_survival: NA,0.11695,1,0.022265
4,pfs_cluster: NA,0.11695,1,0.022265
4,overall_survival: 12,0.14264,1,-Inf
4,response_cluster: Average,0.51829,1,-Inf
4,response_cluster: Exceptional,0.68634,1,-Inf
4,response_cluster: Poor,0.77924,1,-Inf
4,response_cluster: None,1,1,-Inf
4,overall_survival: 10,1,1,-Inf
4,overall_survival: 106,1,1,-Inf
4,overall_survival: 11,1,1,-Inf
4,overall_survival: 115,1,1,-Inf
4,overall_survival: 13,1,1,-Inf
4,overall_survival: 15,1,1,-Inf
4,overall_survival: 16,1,1,-Inf
4,overall_survival: 17,1,1,-Inf
4,overall_survival: 19,1,1,-Inf
4,overall_survival: 2,1,1,-Inf
4,overall_survival: 20,1,1,-Inf
4,overall_survival: 21,1,1,-Inf
4,overall_survival: 22,1,1,-Inf
4,overall_survival: 23,1,1,-Inf
4,overall_survival: 25,1,1,-Inf
4,overall_survival: 27,1,1,-Inf
4,overall_survival: 3,1,1,-Inf
4,overall_survival: 30,1,1,-Inf
4,overall_survival: 31,1,1,-Inf
4,overall_survival: 32,1,1,-Inf
4,overall_survival: 33,1,1,-Inf
4,overall_survival: 34,1,1,-Inf
4,overall_survival: 38,1,1,-Inf
4,overall_survival: 39,1,1,-Inf
4,overall_survival: 4,1,1,-Inf
4,overall_survival: 42,1,1,-Inf
4,overall_survival: 43,1,1,-Inf
4,overall_survival: 46,1,1,-Inf
4,overall_survival: 48,1,1,-Inf
4,overall_survival: 5,1,1,-Inf
4,overall_survival: 58,1,1,-Inf
4,overall_survival: 65,1,1,-Inf
4,overall_survival: 69,1,1,-Inf
4,overall_survival: 7,1,1,-Inf
4,overall_survival: 72,1,1,-Inf
4,overall_survival: 76,1,1,-Inf
4,overall_survival: 77,1,1,-Inf
4,overall_survival: 79,1,1,-Inf
4,overall_survival: 8,1,1,-Inf
4,overall_survival: 84,1,1,-Inf
4,overall_survival: 90,1,1,-Inf
4,overall_survival: 95,1,1,-Inf
4,overall_survival: NA,1,1,-Inf
4,progression-free_survival: 10,1,1,-Inf
4,progression-free_survival: 11,1,1,-Inf
4,progression-free_survival: 12,1,1,-Inf
4,progression-free_survival: 13,1,1,-Inf
4,progression-free_survival: 14,1,1,-Inf
4,progression-free_survival: 15,1,1,-Inf
4,progression-free_survival: 18,1,1,-Inf
4,progression-free_survival: 2,1,1,-Inf
4,progression-free_survival: 22,1,1,-Inf
4,progression-free_survival: 23,1,1,-Inf
4,progression-free_survival: 27,1,1,-Inf
4,progression-free_survival: 3,1,1,-Inf
4,progression-free_survival: 32,1,1,-Inf
4,progression-free_survival: 36,1,1,-Inf
4,progression-free_survival: 37,1,1,-Inf
4,progression-free_survival: 39,1,1,-Inf
4,progression-free_survival: 40,1,1,-Inf
4,progression-free_survival: 48,1,1,-Inf
4,progression-free_survival: 5,1,1,-Inf
4,progression-free_survival: 6,1,1,-Inf
4,progression-free_survival: 7,1,1,-Inf
4,progression-free_survival: 74,1,1,-Inf
4,progression-free_survival: 9,1,1,-Inf
4,progression-free_survival: 93,1,1,-Inf
4,pfs_cluster: Average,1,1,-Inf
4,pfs_cluster: Exceptional,1,1,-Inf
4,pfs_cluster: Poor,1,1,-Inf
5,overall_survival: 20,0.096914,1,-Inf
5,progression-free_survival: 11,0.096914,1,-Inf
5,overall_survival: 19,0.14264,1,-Inf
5,overall_survival: 34,0.14264,1,-Inf
5,overall_survival: 5,0.14264,1,-Inf
5,response_cluster: Average,0.16769,1,-Inf
5,progression-free_survival: NA,0.46002,1,-Inf
5,pfs_cluster: NA,0.46002,1,-Inf
5,pfs_cluster: Average,0.56681,1,-Inf
5,response_cluster: Poor,0.77924,1,-Inf
5,response_cluster: Exceptional,1,1,-Inf
5,response_cluster: None,1,1,-Inf
5,overall_survival: 10,1,1,-Inf
5,overall_survival: 106,1,1,-Inf
5,overall_survival: 11,1,1,-Inf
5,overall_survival: 115,1,1,-Inf
5,overall_survival: 12,1,1,-Inf
5,overall_survival: 13,1,1,-Inf
5,overall_survival: 15,1,1,-Inf
5,overall_survival: 16,1,1,-Inf
5,overall_survival: 164,1,1,-Inf
5,overall_survival: 17,1,1,-Inf
5,overall_survival: 2,1,1,-Inf
5,overall_survival: 21,1,1,-Inf
5,overall_survival: 22,1,1,-Inf
5,overall_survival: 23,1,1,-Inf
5,overall_survival: 25,1,1,-Inf
5,overall_survival: 27,1,1,-Inf
5,overall_survival: 28,1,1,-Inf
5,overall_survival: 29,1,1,-Inf
5,overall_survival: 3,1,1,-Inf
5,overall_survival: 30,1,1,-Inf
5,overall_survival: 31,1,1,-Inf
5,overall_survival: 32,1,1,-Inf
5,overall_survival: 33,1,1,-Inf
5,overall_survival: 38,1,1,-Inf
5,overall_survival: 39,1,1,-Inf
5,overall_survival: 4,1,1,-Inf
5,overall_survival: 42,1,1,-Inf
5,overall_survival: 43,1,1,-Inf
5,overall_survival: 46,1,1,-Inf
5,overall_survival: 48,1,1,-Inf
5,overall_survival: 58,1,1,-Inf
5,overall_survival: 65,1,1,-Inf
5,overall_survival: 69,1,1,-Inf
5,overall_survival: 7,1,1,-Inf
5,overall_survival: 72,1,1,-Inf
5,overall_survival: 76,1,1,-Inf
5,overall_survival: 77,1,1,-Inf
5,overall_survival: 79,1,1,-Inf
5,overall_survival: 8,1,1,-Inf
5,overall_survival: 84,1,1,-Inf
5,overall_survival: 90,1,1,-Inf
5,overall_survival: 95,1,1,-Inf
5,overall_survival: NA,1,1,-Inf
5,progression-free_survival: 10,1,1,-Inf
5,progression-free_survival: 12,1,1,-Inf
5,progression-free_survival: 13,1,1,-Inf
5,progression-free_survival: 14,1,1,-Inf
5,progression-free_survival: 15,1,1,-Inf
5,progression-free_survival: 18,1,1,-Inf
5,progression-free_survival: 2,1,1,-Inf
5,progression-free_survival: 22,1,1,-Inf
5,progression-free_survival: 23,1,1,-Inf
5,progression-free_survival: 27,1,1,-Inf
5,progression-free_survival: 3,1,1,-Inf
5,progression-free_survival: 32,1,1,-Inf
5,progression-free_survival: 36,1,1,-Inf
5,progression-free_survival: 37,1,1,-Inf
5,progression-free_survival: 39,1,1,-Inf
5,progression-free_survival: 40,1,1,-Inf
5,progression-free_survival: 48,1,1,-Inf
5,progression-free_survival: 5,1,1,-Inf
5,progression-free_survival: 6,1,1,-Inf
5,progression-free_survival: 7,1,1,-Inf
5,progression-free_survival: 74,1,1,-Inf
5,progression-free_survival: 9,1,1,-Inf
5,progression-free_survival: 93,1,1,-Inf
5,pfs_cluster: Exceptional,1,1,-Inf
5,pfs_cluster: Poor,1,1,-Inf
